"","x","y"
"1",1,1.79301317129912
"2",2,5.04450252765103
"3",3,14.2386667235693
"4",4,10.9146555079441
"5",5,35.9869476627739
"6",6,38.5987846625519
"7",7,38.0086025866023
"8",8,56.5207546633914
"9",9,81.5714401073381
"10",10,99.9760666381899
"11",11,95.9554063572871
"12",12,153.088946701506
"13",13,161.870727797636
"14",14,198.415692689905
"15",15,233.442796016331
"16",16,280.189087351003
"17",17,300.203427875795
"18",18,344.196505344142
"19",19,346.091813986217
"20",20,391.486154223794
"21",21,449.252949418816
"22",22,484.80865685614
"23",23,505.262075791749
"24",24,545.643324686846
"25",25,619.325867869409
"26",26,695.385321922409
"27",27,737.986117868978
"28",28,752.526867193983
"29",29,820.52220731536
"30",30,878.173684061746
"31",31,904.136254056493
"32",32,1010.95398591166
"33",33,1089.88641942836
"34",34,1186.99537367707
"35",35,1282.2021266428
"36",36,1298.18468211695
"37",37,1437.36018353103
"38",38,1447.04474827675
"39",39,1576.32367943618
"40",40,1658.34463741787
"41",41,1683.29097092365
"42",42,1700.27589576726
"43",43,1846.91109375878
"44",44,1926.56830787725
"45",45,2119.31181889262
"46",46,2125.3068537135
"47",47,2233.33301440861
"48",48,2384.55087388079
"49",49,2419.87699544732
"50",50,2435.90563879875
"51",51,2571.31031246554
"52",52,2796.25417210611
"53",53,2797.83438508898
"54",54,2896.98622706585
"55",55,3057.18447794234
"56",56,3192.76634307438
"57",57,3247.71354257018
"58",58,3311.61701830614
"59",59,3534.55860425126
"60",60,3669.7165738221
"61",61,3693.06484277068
"62",62,3901.53331340388
"63",63,3836.51508640632
"64",64,3988.66130470811
"65",65,4339.76762495982
"66",66,4408.43352980336
"67",67,4456.58073958334
"68",68,4755.12842212049
"69",69,4734.49598254032
"70",70,4788.9325772487
"71",71,5056.21542115132
"72",72,5102.04371601821
"73",73,5364.72718604489
"74",74,5346.30487967789
"75",75,5662.57628246653
"76",76,5782.59347160639
"77",77,5943.71266209238
"78",78,6148.88344398264
"79",79,6187.35644289638
"80",80,6423.66898363384
"81",81,6651.0854346255
"82",82,6753.73237155842
"83",83,6866.51404894333
"84",84,7039.45656506847
"85",85,7230.69113403549
"86",86,7321.36905653034
"87",87,7537.50550924575
"88",88,7643.71958550613
"89",89,7848.43195165018
"90",90,8217.92210696818
"91",91,8257.48915440699
"92",92,8519.77637029348
"93",93,8678.15068414105
"94",94,8841.03868970598
"95",95,9132.18410982931
"96",96,9162.41918791912
"97",97,9557.98801774398
"98",98,9597.88025747119
"99",99,9803.13594632085
"100",100,9791.01725618129
"101",101,10119.100243668
"102",102,10103.7334313928
"103",103,10607.0640431593
"104",104,10779.1132672416
"105",105,11028.734869686
"106",106,11288.3766317142
"107",107,11378.4004947251
"108",108,11772.1233280484
"109",109,11997.8572077102
"110",110,12183.1342276348
"111",111,12159.4434176967
"112",112,12649.6015494033
"113",113,12557.6589163403
"114",114,12967.1269642103
"115",115,13191.3553847695
"116",116,13481.3770949082
"117",117,13530.456877118
"118",118,13909.518191117
"119",119,14107.2280568179
"120",120,14411.6697744976
"121",121,14602.5096173902
"122",122,14812.7809970926
"123",123,15137.2760303689
"124",124,15420.0778046244
"125",125,15622.3735530691
"126",126,16033.3270093586
"127",127,16016.6446943426
"128",128,16270.7191036083
"129",129,16582.8558312606
"130",130,17067.8706691462
"131",131,17210.6279858763
"132",132,17622.0901664392
"133",133,17653.2526774764
"134",134,18126.8566973446
"135",135,18268.4018202386
"136",136,18721.0722038763
"137",137,18605.743163084
"138",138,19037.5158502491
"139",139,19098.5944024036
"140",140,19443.8487967122
"141",141,20007.1469026335
"142",142,20063.8141886415
"143",143,20312.6554840987
"144",144,20879.5233449221
"145",145,20928.5705278467
"146",146,21077.8790100154
"147",147,21718.694012381
"148",148,21760.7172260441
"149",149,22155.6742487288
"150",150,22599.6914354456
"151",151,22884.2185683029
"152",152,22998.8540163288
"153",153,23207.4716473278
"154",154,23727.3025376669
"155",155,24120.8465398857
"156",156,24427.3963568095
"157",157,24799.6421959513
"158",158,24834.401992101
"159",159,25351.4896820362
"160",160,25413.2042293305
"161",161,25956.8978728713
"162",162,26245.9356818378
"163",163,26542.1697771485
"164",164,26653.914100062
"165",165,27153.9312203122
"166",166,27662.8817469442
"167",167,28197.7333570043
"168",168,28364.1129035501
"169",169,28253.7593894057
"170",170,28845.3377614385
"171",171,29449.0181712134
"172",172,29329.0336828172
"173",173,29846.9916177031
"174",174,29906.3887775026
"175",175,30508.6513576971
"176",176,30902.6481426423
"177",177,31289.175819503
"178",178,31752.2618691975
"179",179,32123.0627926176
"180",180,32100.6784050785
"181",181,32770.6550788728
"182",182,33028.2487733991
"183",183,33475.4657260425
"184",184,33782.536572327
"185",185,34122.4871982721
"186",186,34609.1548426214
"187",187,34996.298799558
"188",188,35379.5587965219
"189",189,35729.4958051029
"190",190,36210.5389164573
"191",191,36595.3812231756
"192",192,36999.087059569
"193",193,37022.2903993951
"194",194,37578.2733076931
"195",195,38026.636644887
"196",196,38667.0982653823
"197",197,38721.3495789207
"198",198,39440.4886811716
"199",199,39674.8201425576
"200",200,40327.576242485
